Coluna;;CNAE 2.0 Div
UF;Ano;Fabricação de Produtos Alimentícios;Fabricação de Bebidas;Fabricação de Produtos do Fumo;Fabricação de Produtos Têxteis;Confecção de Artigos do Vestuário e Acessórios;Preparação de Couros e Fabricação de Artefatos de Couro, Artigos para Viagem e Calçados;Fabricação de Produtos de Madeira;Fabricação de Celulose, Papel e Produtos de Papel;Impressão e Reprodução de Gravações;Fabricação de Coque, de Produtos Derivados do Petróleo e de Biocombustíveis;Fabricação de Produtos Químicos;Fabricação de Produtos Farmoquímicos e Farmacêuticos;Fabricação de Produtos de Borracha e de Material Plástico;Fabricação de Produtos de Minerais Não-Metálicos;Metalurgia;Fabricação de Produtos de Metal, Exceto Máquinas e Equipamentos;Fabricação de Equipamentos de Informática, Produtos Eletrônicos e Ópticos;Fabricação de Máquinas, Aparelhos e Materiais Elétricos;Fabricação de Máquinas e Equipamentos;Fabricação de Veículos Automotores, Reboques e Carrocerias;Fabricação de Outros Equipamentos de Transporte, Exceto Veículos Automotores;Fabricação de Móveis;Fabricação de Produtos Diversos;Manutenção, Reparação e Instalação de Máquinas e Equipamentos;Total
11 - Rondônia;Total;194910;15611;79;1123;13894;8644;87780;1573;6216;1923;2892;247;6170;38524;4435;12702;127;659;4073;5118;4583;12595;4666;5078;433622
;2019;18546;976;0;50;975;807;4478;61;506;102;244;11;503;2454;314;1211;10;87;81;352;522;818;542;573;34223
;2018;18463;1012;0;62;1024;783;5010;60;497;104;222;26;525;2396;389;1030;0;54;152;371;523;895;488;531;34617
;2017;18168;1097;0;63;1013;680;5222;85;517;125;194;19;540;2568;401;1078;7;69;174;374;532;935;436;534;34831
;2016;15141;1222;6;79;1054;798;5526;99;508;136;221;19;524;2868;300;1085;4;126;151;407;453;1032;437;459;32655
;2015;15491;1325;3;93;1103;713;6520;186;545;149;210;16;542;3407;347;1186;4;96;408;452;490;1074;488;414;35262
;2014;15888;1163;1;124;1218;691;7277;139;506;165;230;21;484;3706;344;1158;4;13;589;465;543;1092;483;411;36715
;2013;15509;1218;1;108;1254;847;6966;137;496;143;254;25;484;3837;369;963;3;11;540;415;546;1117;493;378;36114
;2012;15249;1181;15;98;1185;647;6761;124;491;137;257;21;479;3652;397;945;3;10;590;470;347;1102;374;424;34959
;2011;13513;1335;15;99;1228;512;7014;108;429;203;271;15;493;3275;376;968;3;21;520;486;217;1100;300;396;32897
;2010;13002;1424;9;104;1131;559;7323;119;367;170;301;19;414;3019;360;934;38;28;456;383;192;984;218;347;31901
;2009;11969;1318;9;98;981;499;7331;118;453;157;236;5;381;2654;329;830;16;59;239;348;163;838;209;287;29527
;2008;12049;1249;10;73;923;468;8170;142;448;134;166;16;421;2408;272;710;20;51;98;311;22;902;113;170;29346
;2007;11922;1091;10;72;805;640;10182;195;453;198;86;34;380;2280;237;604;15;34;75;284;33;706;85;154;30575
12 - Acre;Total;29078;5963;78;440;2347;1392;11664;229;1819;957;660;17;2585;12451;371;1900;54;308;251;724;198;2419;641;549;77095
;2019;2664;228;0;7;161;132;835;5;160;8;51;6;176;830;3;117;3;13;5;62;36;134;50;46;5732
;2018;2583;330;0;8;168;118;553;6;173;11;58;3;171;751;4;111;3;14;8;60;37;158;57;51;5436
;2017;2681;340;0;11;180;113;498;4;161;52;62;4;203;793;28;119;3;17;25;64;37;149;65;47;5656
;2016;2560;452;0;23;195;117;322;4;149;90;62;0;191;836;27;126;3;21;22;39;41;175;68;59;5582
;2015;2699;500;13;29;192;93;523;3;146;115;65;0;206;1050;39;151;0;20;28;48;0;170;46;80;6216
;2014;2382;568;11;38;226;94;600;2;148;73;74;0;210;1143;45;198;0;18;4;61;0;195;53;46;6189
;2013;2146;577;10;39;266;109;918;2;146;97;89;0;224;1399;22;198;0;17;27;61;21;178;59;41;6646
;2012;2179;542;12;43;200;106;1264;6;149;107;72;0;238;1224;25;162;4;4;27;63;21;180;45;32;6705
;2011;2253;584;9;55;188;104;1411;32;133;90;26;0;207;1196;23;137;0;42;23;75;0;222;36;34;6880
;2010;2033;530;9;40;171;104;1418;34;136;83;15;0;223;989;24;191;2;44;36;49;0;226;32;14;6403
;2009;1726;490;5;13;128;97;1215;44;124;89;17;0;200;765;21;157;0;35;25;55;0;205;31;20;5462
;2008;1594;419;4;56;156;94;1135;39;104;37;30;0;167;795;54;121;6;42;15;53;5;234;38;33;5231
;2007;1578;403;5;78;116;111;972;48;90;105;39;4;169;680;56;112;30;21;6;34;0;193;61;46;4957
13 - Amazonas;Total;65406;40287;453;10531;13695;822;19037;34672;30974;6529;23814;4203;133033;28950;21511;82783;425486;88591;48905;59099;201039;10491;24596;22281;1397188
;2019;4519;2875;0;928;756;118;1225;2720;981;456;2204;693;8903;1336;1432;4706;23833;6416;5049;4051;13501;914;2165;1939;91720
;2018;4888;3215;0;806;761;148;1234;2608;1139;442;2274;655;8860;1351;952;5181;26204;4835;3366;3997;11994;922;1952;1730;89514
;2017;4833;3429;0;704;798;140;1220;2658;1422;446;1830;540;8754;1421;957;5418;27304;5262;3285;4533;11434;877;2109;1421;90795
;2016;5530;3019;29;471;816;78;1182;2475;1581;500;1553;521;8539;2055;1622;5566;26801;6942;3082;3423;12264;845;2102;1582;92578
;2015;6534;3317;52;1135;956;75;1267;2522;1669;540;1831;526;9492;2452;1513;5874;26368;7225;4300;4198;14396;906;2045;2559;101752
;2014;5553;3412;54;1368;1185;59;1379;2840;2022;515;1881;442;12019;2765;1859;7904;38253;9738;5417;4897;15841;949;2148;2642;125142
;2013;6242;3402;55;966;1282;40;1551;2927;2820;534;1854;175;11314;2919;2065;7926;46805;8333;4773;5107;17088;926;2216;2076;133396
;2012;5829;3462;53;689;1216;36;1526;2930;3116;562;1815;144;10472;2803;2004;7719;42024;7315;4493;4783;16262;799;1844;1800;123696
;2011;5017;2671;50;1001;1391;32;1565;3012;3351;551;1971;118;10875;2695;2198;8306;41706;8096;3847;6913;17952;895;1737;1968;127918
;2010;4384;3104;51;957;1210;26;1660;2394;3226;502;1747;104;11344;2506;1831;6953;32673;7249;3703;3756;18154;792;1552;1613;111491
;2009;4199;2831;40;599;1111;23;1570;2390;3175;504;1477;99;10279;2614;1778;6090;26699;6830;2849;3283;18142;633;1479;1245;99939
;2008;3931;2556;37;440;1170;24;1827;2764;3283;550;1859;87;11084;2081;1936;6554;29987;5252;2394;5516;18496;523;1854;877;105082
;2007;3947;2994;32;467;1043;23;1831;2432;3189;427;1518;99;11098;1952;1364;4586;36829;5098;2347;4642;15515;510;1393;829;104165
14 - Roraima;Total;9774;2084;18;128;900;235;6459;189;450;1200;269;4;235;5642;98;515;15;5;0;217;0;509;588;733;30267
;2019;981;145;0;43;133;8;384;15;52;220;21;1;16;301;7;55;0;0;0;16;0;22;74;77;2571
;2018;841;138;0;38;127;0;438;12;30;137;23;1;15;427;3;49;0;0;0;19;0;17;79;82;2476
;2017;741;121;0;27;120;0;615;12;42;125;16;1;19;444;10;62;0;0;0;19;0;19;47;82;2522
;2016;975;124;2;5;68;0;643;8;42;135;16;1;17;455;7;60;0;0;0;22;0;21;54;71;2726
;2015;858;132;2;3;68;0;629;12;33;97;20;0;17;505;9;46;0;0;0;18;0;43;55;98;2645
;2014;855;111;2;4;61;0;526;8;40;98;22;0;17;583;4;52;0;0;0;19;0;52;66;72;2592
;2013;913;129;2;3;60;1;439;8;44;113;22;0;16;638;9;29;5;0;0;25;0;37;56;42;2591
;2012;875;115;2;4;48;62;437;0;26;68;19;0;17;606;14;27;0;0;0;26;0;52;57;82;2537
;2011;726;120;2;1;53;84;549;5;22;78;21;0;22;545;11;28;0;0;0;28;0;55;45;46;2441
;2010;670;239;2;0;67;2;510;13;22;50;23;0;19;366;6;27;10;0;0;15;0;64;37;32;2174
;2009;552;259;2;0;42;29;501;20;36;44;23;0;18;290;0;30;0;0;0;3;0;42;8;18;1917
;2008;404;244;1;0;31;23;431;38;31;31;22;0;24;270;5;26;0;5;0;2;0;40;6;21;1655
;2007;383;207;1;0;22;26;357;38;30;4;21;0;18;212;13;24;0;0;0;5;0;45;4;10;1420
15 - Pará;Total;321355;38808;917;21559;16750;14929;237164;21802;12372;14577;26295;458;21502;108861;79201;30731;402;8573;9168;5590;8627;25180;6251;28964;1060036
;2019;30866;2837;0;1821;1230;1200;9531;901;988;1420;2044;4;1868;6158;5360;1801;21;1040;772;376;470;1652;391;2379;75130
;2018;28366;3000;43;1675;1097;1213;10487;1805;1081;1165;2462;7;1901;6703;5306;1453;37;1035;788;416;471;1729;354;3033;75627
;2017;28349;2963;44;1370;1109;1367;11446;1757;1025;964;2360;14;1752;7256;4980;1814;14;873;909;421;791;1717;392;2486;76173
;2016;25770;2997;107;1419;1141;1149;11870;1813;1072;794;2406;20;1809;8186;4970;1902;2;782;862;402;795;1883;423;2492;75066
;2015;25576;3154;71;1264;1380;1154;14779;1830;1088;1190;2354;11;1851;9648;5077;2847;43;682;968;481;834;2229;486;2418;81415
;2014;24495;3036;64;1381;1517;1048;16932;1889;1121;885;2211;31;1696;10688;6080;2859;40;698;1064;522;1241;2457;788;3338;86081
;2013;22027;3012;72;1285;1429;949;17487;1663;1028;1415;2082;29;1785;10421;5631;3101;46;668;867;481;747;2344;865;3113;82547
;2012;20937;3013;72;1286;1455;879;20110;1736;1052;917;1822;36;1685;9578;6915;3448;3;647;762;433;758;2352;833;2453;83182
;2011;21078;2923;76;1912;1506;1142;22967;1793;949;1430;1663;33;1515;8737;6596;3098;16;676;655;436;573;2116;457;2114;84461
;2010;24689;3104;79;2129;1254;1300;23828;1752;839;1358;1789;44;1516;9101;6924;2176;17;159;485;424;559;1791;446;1932;87695
;2009;23429;2837;88;1721;1366;1214;21538;1688;758;1354;1564;77;1551;7863;6736;1925;8;484;413;403;594;1640;371;1063;80685
;2008;24098;3081;101;2018;1153;1066;24091;1705;724;852;1814;61;1396;7662;6936;2385;76;460;360;390;563;1471;270;1235;83968
;2007;21675;2851;100;2278;1113;1248;32098;1470;647;833;1724;91;1177;6860;7690;1922;79;369;263;405;231;1799;175;908;88006
16 - Amapá;Total;9088;4033;20;219;1253;22;4627;37;2399;3;384;58;319;6478;156;1060;61;47;93;288;1228;1420;615;1277;35185
;2019;823;51;0;22;77;0;369;0;112;1;0;0;20;396;2;36;0;20;1;15;161;97;16;57;2276
;2018;954;221;0;34;78;0;451;0;124;1;1;1;21;402;2;51;0;11;2;14;12;116;27;61;2584
;2017;841;237;0;40;79;0;521;0;140;0;3;0;27;402;0;57;0;13;4;20;169;98;41;58;2750
;2016;810;237;3;24;99;0;390;0;137;0;2;10;27;384;0;46;0;1;5;18;164;142;42;112;2653
;2015;912;315;3;20;94;0;270;0;188;0;29;12;26;491;0;80;0;0;4;20;150;136;60;71;2881
;2014;860;345;0;7;107;0;278;5;179;0;35;16;30;587;1;87;0;0;6;24;177;157;52;203;3156
;2013;783;460;2;8;109;1;281;5;175;0;39;11;32;579;1;199;0;0;8;25;155;164;67;201;3305
;2012;701;457;3;10;120;2;281;4;194;0;43;2;25;645;0;92;0;0;11;25;125;142;58;212;3152
;2011;663;456;3;10;133;0;344;5;203;0;45;0;21;563;2;104;8;0;9;28;74;79;66;89;2905
;2010;521;403;2;11;105;0;404;4;229;1;32;0;15;561;13;97;15;1;11;25;11;62;56;36;2615
;2009;414;412;1;12;97;1;472;4;215;0;50;0;17;522;38;52;12;0;8;27;14;58;61;136;2623
;2008;343;1;2;14;94;8;319;5;314;0;46;5;20;456;32;56;14;1;12;23;7;55;33;24;1884
;2007;463;438;1;7;61;10;247;5;189;0;59;1;38;490;65;103;12;0;12;24;9;114;36;17;2401
17 - Tocantins;Total;94065;1782;32;1129;5873;5441;1462;165;4211;12525;4451;124;3780;35882;574;7059;36;288;705;2943;120;4291;2112;3700;192750
;2019;7860;120;0;89;367;370;109;14;294;1119;420;6;251;2195;12;644;1;1;37;214;11;335;134;536;15139
;2018;7625;129;0;79;379;352;96;12;327;1093;230;5;237;2402;13;637;1;13;75;233;7;349;119;525;14938
;2017;8025;89;0;73;362;308;100;11;312;1097;228;4;229;2584;9;648;1;16;34;217;7;348;132;400;15234
;2016;8388;94;5;85;362;498;121;7;317;1159;291;3;214;2757;11;578;0;18;57;234;13;325;131;373;16041
;2015;8733;95;6;82;429;639;136;3;348;1248;393;5;235;3434;7;634;5;8;69;275;16;363;326;345;17834
;2014;8390;78;5;67;461;510;118;7;367;1163;422;5;244;3513;6;614;4;8;94;284;14;432;351;303;17460
;2013;7320;82;6;75;517;547;153;7;316;1317;490;9;300;3354;6;548;4;30;55;242;15;438;312;260;16403
;2012;6902;102;10;70;553;424;125;13;355;1270;449;21;270;3244;29;550;4;48;83;247;15;435;152;221;15592
;2011;6449;128;0;105;526;419;137;15;345;1273;410;11;375;3170;82;545;1;37;43;264;5;293;124;179;14936
;2010;6598;221;0;114;487;345;103;14;338;1003;415;7;339;2770;121;450;1;46;34;228;2;252;133;123;14144
;2009;5828;209;0;113;483;314;101;12;297;666;226;18;261;2310;92;447;2;19;32;172;1;236;91;184;12114
;2008;5629;208;0;90;469;242;75;14;297;18;254;18;422;2186;76;404;4;23;56;184;13;239;67;150;11138
;2007;6318;227;0;87;478;473;88;36;298;99;223;12;403;1963;110;360;8;21;36;149;1;246;40;101;11777
21 - Maranhão;Total;74308;35597;690;2948;14336;8508;8018;8375;15004;27896;26521;377;9286;90354;47333;19638;455;1337;9912;3508;3626;20717;3883;15551;448178
;2019;7557;2839;1;182;1443;634;154;943;978;1416;1629;0;574;5149;2839;1185;4;82;205;214;414;1304;416;1373;31535
;2018;6928;2789;0;193;1087;815;210;988;1144;1100;1866;0;531;5373;3769;1004;16;77;465;193;456;1494;368;1262;32128
;2017;6823;2807;0;184;993;746;277;918;1105;1480;1889;0;549;5359;3263;951;19;79;468;204;416;1525;423;1402;31880
;2016;6807;3036;67;184;1108;741;342;849;1172;2496;1833;1;689;6911;3136;1085;17;124;409;208;457;1545;387;1319;34923
;2015;7026;3225;101;184;1121;711;347;834;1128;2966;1656;1;699;8210;3502;1541;16;179;329;242;447;1968;398;1011;37842
;2014;6092;3356;93;150;1142;637;450;837;1218;3070;1843;2;763;8848;4043;1609;67;208;299;254;381;1990;450;1004;38806
;2013;5581;3203;71;164;1076;540;538;725;1307;3111;1880;3;727;9580;4101;1805;37;222;796;242;433;1718;347;1922;40129
;2012;5220;2932;61;245;1160;633;502;406;1304;2717;1751;108;807;8765;4084;1943;45;194;628;313;431;1804;278;1541;37872
;2011;4606;2762;77;250;1044;601;738;267;1304;3564;1583;108;711;7831;4029;1841;78;37;742;331;9;1679;284;1481;35957
;2010;4312;2577;62;283;933;679;982;344;1283;1839;2915;42;756;7331;3371;1575;63;35;242;381;14;1571;156;1645;33391
;2009;4404;2069;58;282;909;615;734;400;1096;1266;3168;67;817;6360;3240;1368;25;23;571;353;16;1340;132;599;29912
;2008;4666;2194;54;321;1229;588;1227;425;1048;1313;2213;28;832;5472;3767;1952;29;42;2901;255;65;1310;170;607;32708
;2007;4286;1808;45;326;1091;568;1517;439;917;1558;2295;17;831;5165;4189;1779;39;35;1857;318;87;1469;74;385;31095
22 - Piauí;Total;81801;20934;368;2418;50158;5719;3783;1519;9440;16783;8816;4501;10285;57365;4232;16222;505;2807;1864;3079;8929;17388;5030;4841;338787
;2019;7472;1474;4;130;2872;287;198;178;915;2279;725;407;498;3970;418;1210;7;155;61;171;487;1312;499;946;26675
;2018;8249;1397;2;95;3086;295;175;169;894;2047;776;425;636;3645;447;1143;30;182;483;194;527;1373;415;448;27133
;2017;7504;1457;3;120;3297;307;278;150;907;1216;743;373;519;3837;486;1015;31;182;95;211;503;1323;439;451;25447
;2016;7519;1576;29;128;3369;408;251;137;850;1013;735;348;616;4444;604;1188;18;162;105;212;488;1248;420;432;26300
;2015;7500;1642;37;132;3699;467;309;143;843;1102;755;285;771;5012;515;1338;20;229;109;227;505;1383;440;483;27946
;2014;6925;1884;33;146;4176;480;349;147;834;1136;767;331;921;5284;527;1334;30;278;137;295;809;1509;438;413;29183
;2013;6156;1901;30;147;4235;516;351;132;751;1087;582;331;994;5236;508;1364;38;280;128;306;919;1478;453;391;28314
;2012;6245;1940;42;166;4315;504;355;141;693;1148;600;310;956;4871;148;1651;39;278;130;335;806;1492;365;287;27817
;2011;5881;1857;54;175;4482;472;381;100;685;1231;519;320;885;4828;129;1471;45;252;115;305;861;1397;365;270;27080
;2010;5719;1811;53;182;4606;454;281;55;606;1069;587;313;942;4685;123;1391;50;266;103;270;878;1395;324;240;26403
;2009;4598;1414;36;414;4311;482;271;48;527;1216;672;310;891;4058;116;1196;60;224;127;223;757;1319;226;175;23671
;2008;3992;1353;6;342;4080;525;281;58;490;804;746;354;810;3882;116;1005;66;169;142;178;660;1073;337;194;21663
;2007;4041;1228;39;241;3630;522;303;61;445;1435;609;394;846;3613;95;916;71;150;129;152;729;1086;309;111;21155
23 - Ceará;Total;431186;93712;1270;197501;622540;786590;18299;36129;40193;9380;52479;36403;71292;160616;59680;112316;10218;54776;28246;27403;14021;78461;24683;42514;3009908
;2019;36345;6098;20;11531;41760;56724;1059;3258;3439;402;4453;2803;5004;11294;6150;6409;402;8449;1884;1862;927;5635;1984;4992;222884
;2018;35887;6665;22;12990;42345;58631;1147;2892;3225;304;3687;2980;5018;11231;5807;6002;503;6365;1895;1951;887;5628;1857;4690;222609
;2017;34764;6466;19;13254;42856;53915;1121;3256;3230;372;3769;2925;5572;10681;5904;6071;525;6606;1933;1898;1066;5497;1996;4858;218554
;2016;35655;7451;143;12973;43345;55767;1243;2794;3283;405;4262;2658;4832;12794;5839;6249;567;6823;2134;1819;929;6089;2146;4343;224543
;2015;36306;7927;139;13447;48236;57529;1410;2818;3581;488;4260;2912;5545;15211;5962;7456;711;6208;2555;2148;966;6835;2251;4273;239174
;2014;35342;8738;154;15745;54152;64509;1608;3024;3662;812;4537;2873;5696;14898;4953;11732;831;2569;2677;2352;1212;6809;2135;4408;255428
;2013;33506;8186;133;16450;54424;67199;1562;2909;3424;1059;4409;2913;5702;15092;4626;11907;964;2083;2464;2505;1160;6828;2025;3342;254872
;2012;32545;8116;120;17050;53421;65926;1515;2825;3443;1183;3961;2844;5674;14275;4244;11581;978;2266;2460;2584;1175;6853;1852;3622;250513
;2011;33097;7423;122;16852;52134;65208;1647;2843;3218;873;3971;2880;5520;13331;3528;9985;1277;2433;2248;2543;1279;6756;1880;2882;243930
;2010;31012;7476;127;17791;53028;66881;1750;2847;2767;1164;3829;2947;6230;12070;3589;10289;1066;2503;2460;2255;1718;6199;2048;1880;243926
;2009;29943;6924;108;17290;48548;65451;1474;2432;2480;797;4013;2866;5377;10352;3468;8947;771;2531;2022;1933;1010;5381;1623;1414;227155
;2008;28616;6481;85;16215;46301;52932;1449;2168;2370;821;3714;2406;5718;10009;3003;8191;860;3166;1786;1880;967;5011;1517;994;206660
;2007;28168;5761;78;15913;41990;55918;1314;2063;2071;700;3614;2396;5404;9378;2607;7497;763;2774;1728;1673;725;4940;1369;816;199660
24 - Rio Grande do Norte;Total;176750;27840;1298;83833;234296;8848;6519;5286;11419;46298;12668;804;20045;84125;1301;20517;795;1043;7206;3771;369;17397;9541;15285;797254
;2019;13883;1859;192;3788;15324;244;384;324;868;2853;1040;2;1557;5339;85;933;14;200;323;288;12;1084;902;1163;52661
;2018;13445;1973;174;4539;14652;214;405;300;939;2901;1088;2;1472;5399;95;901;41;47;417;274;13;1247;826;1239;52603
;2017;13345;2026;146;4588;15773;152;419;490;766;3036;1117;2;1389;5807;111;964;47;33;499;274;12;1243;807;1291;54337
;2016;13541;2058;186;4623;16384;622;467;441;757;3261;1074;2;1357;6116;108;1155;48;48;582;240;19;1322;878;1000;56289
